id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
15805962,Modern and bright apartment with pool and security,87566301,Luciano,Barracas,-34.63552,-58.37191,Entire home/apt,7848,7,6,10/02/2019,0.08,1,115,0
8828360,Beautiful Apt in exclusive location,1327637,Rocio,Palermo,-34.57513,-58.40689,Entire home/apt,11389,120,7,28/06/2016,0.08,1,364,0
3154863,BEAUTIFUL ROOMS IN CENTER,1864747,Irina,Almagro,-34.61095,-58.42192,Private room,3313,2,4,17/11/2017,0.04,23,135,0
25517209,Luminoso Monoambiente en Caballito,55553719,For Rent Argentina,Caballito,-34.61336,-58.43643,Entire home/apt,7248,28,6,28/01/2023,0.16,136,365,4
715791000000000000,"Top apartment Palermo Chico. Pool, Gym & Balcony",458110499,Plants,Palermo,-34.57728257,-58.4056716,Entire home/apt,21743,1,3,20/11/2022,0.57,8,364,3
844032000000000000,Dpto. Planta baja. Patio.,498510732,Denis,Constitucion,-34.62292362,-58.38924151,Private room,3800,1,0,,,1,365,0
800068000000000000,Nuevo 20%off! Elegante y cálido. Impecable & único,47415496,Jonathan,Villa Urquiza,-34.5752939,-58.4821465,Entire home/apt,10553,3,2,16/02/2023,0.98,6,338,2
54380021,Cálido y Luminoso Departamento,35067450,Ignacio,Almagro,-34.60428,-58.42405,Entire home/apt,8875,2,13,14/01/2023,0.99,30,233,11
38099385,Departamento en Palermo Chico,165568394,Juan Manuel Y Juana,Palermo,-34.57699,-58.40807,Entire home/apt,6833,60,2,22/01/2023,0.59,1,358,2
340938,Hermoso departamento en Caminito,1729925,Luciana,Boca,-34.63958,-58.36423,Private room,20708,1,0,,,1,365,0
808037000000000000,Parque Centenario 2 Ambientes,9711876,Ivan,Villa Crespo,-34.60364209,-58.43560172,Entire home/apt,8076,15,0,,,1,346,0
14354825,An aristocratic nest in the nicest area of Palermo,5488681,Martha,Palermo,-34.57719,-58.41554,Entire home/apt,22778,3,20,20/02/2023,0.26,9,168,4
