id,,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews
33992810,,NICE NEW STUDIO IN PALERMO !,444416,Claudia,Palermo,-34.5968,-58.42114,Entire home/apt,3727,3,25
33994123,,Apartamento Belmonte VI semipiso de cat al frente,94414511,Sergio,Liniers,-34.64182,-58.51906,Entire home/apt,5250,5,9
33995697,,Excelente depto en Palermo zona tranquila y segura,233618159,Eduardo,Recoleta,-34.59456,-58.40873,Entire home/apt,9000,7,1
33997681,,La casa de Claudio,256704775,Claudio Marcelo,Boedo,-34.625538,-58.426937,Entire home/apt,5177,3,10
33999718,,PERLA ITALIANO-Depto frente al Hospital Italiano.-,4912642,Iris Perla,Almagro,-34.60577,-58.42538,Entire home/apt,11389,7,4
33999959,,Ideal apartment in the heart of historic Bs As.,1002452,Florencia,San Nicolas,-34.60252,-58.37211,Entire home/apt,12868,2,45
34009537,,"Bright & Quiet Flat in Recoleta, Perfect Spot 60m2",6689042,Santiago,Recoleta,-34.59211,-58.4081,Entire home/apt,11122,5,35
34015335,,Departamento luminoso y acogedor | Caballito,63248200,Vero,Caballito,-34.60793,-58.43467,Entire home/apt,9318,7,2
34018494,,"Dpto Douze Studio - Monoambiente, BS AS",252780849,Irina,Almagro,-34.60339,-58.41747,Entire home/apt,11389,2,12
34019300,,Modern penthouse in the heart of Recoleta.,377964846,Pablo,Recoleta,-34.59148,-58.40193,Entire home/apt,20594,1,95
34019332,,Habitación Jovial cerca del Subte D y River Plate,84749171,Nancy Silvina,Belgrano,-34.5542584,-58.4600296,Private room,2692,2,16
34019384,,Great & new studio in Palermo Chico,156670964,Monica,Palermo,-34.58318,-58.40755,Entire home/apt,8283,2,10
34021473,,"A estrenar! Studio , cama King,impecable! Luminoso",256865148,Martin,Recoleta,-34.59074,-58.39542,Entire home/apt,8283,3,20
34021685,,Beautiful loft in city center,43696659,Maria,Retiro,-34.59841,-58.37371,Entire home/apt,4734,2,52
34023279,,Departamento lindisimo y amplio 3 pax @Palermo,3229526,Agustina,Palermo,-34.5807,-58.41213,Entire home/apt,31475,90,0
34023858,,Excellent Apartment in Recoleta!,256909314,Valeria,Retiro,-34.59493,-58.38664,Entire home/apt,24849,3,11
34024451,,Estudio Super Amplio y Comodo en Recoleta,91141848,Sebastian,Recoleta,-34.58719,-58.38608,Entire home/apt,7879,3,31
34031940,,Departamento para 2 personas en Buenos Aires,186504701,Silvana,Caballito,-34.62624,-58.45302,Entire home/apt,5500,4,4
34038565,,Pleno centro de la ciudad,248245248,Juan,Monserrat,-34.61557,-58.38838,Private room,20708,1,0
34039382,,New Comfortable Studio in Palermo Soho,111035125,Diego,Palermo,-34.59134,-58.42411,Entire home/apt,9318,2,22
34039920,,❤ HJ | 4 guests at 2 aparts same building ★★★★★,5412762,Super Host,San Nicolas,-34.599045,-58.376862,Entire home/apt,12625,1,6
34040282,,Spacious Charming like loft apartment in Palermo,14747773,Diego,Palermo,-34.56881,-58.43179,Entire home/apt,7219,1,40
34041212,,CASCO HISTÓRICO PLAZA DE MAYO,114065180,Claudio,Monserrat,-34.60851,-58.3764,Entire home/apt,8136,4,28
34042460,,Lovely Apartment in the Heart of San Telmo,36691391,Mónica,Monserrat,-34.61502,-58.37442,Entire home/apt,8283,4,15
34052117,,"Studio de Lujo II, en San Telmo !!!",33440600,Arribo Buenos Aires Apartments,Constitucion,-34.62408,-58.37708,Entire home/apt,11596,1,9
34060667,,"Departamento en Capital Federal, Buenos Aires",254090786,Juan Cruz,Paternal,-34.59883,-58.46538,Entire home/apt,4250,7,2
34061402,,ORANGE ROOM - PAY 4d ROOM - GET THE ENTIRE PLACE!!,19107663,Claudio,Saavedra,-34.54345,-58.47941,Private room,6212,3,14
34062926,,Habitación privada y baño privado en Palermo,176941268,Celeste,Palermo,-34.58569,-58.41635,Private room,6836,1,37
34066453,,Hermoso departamento en el corazón de Recoleta!,72739233,Florencia,Recoleta,-34.58873,-58.40442,Entire home/apt,15602,4,31
34073697,,Departamento en edificio de Los pavos reales,718075,Javier,Balvanera,-34.61031,-58.41334,Entire home/apt,3588,2,1
34081744,,"El colibrí de San Telmo, espacio porteño.",14565953,Karina,Constitucion,-34.61845,-58.3806,Entire home/apt,9615,4,42
34083433,,Art and Design in Recoleta neighborhood,40004855,Camila,Recoleta,-34.58724,-58.38819,Entire home/apt,47391,12,4
34086299,,Un pasaje en Caballito.,56869410,Milagros,Caballito,-34.61417,-58.43363,Entire home/apt,8076,5,23
34087492,,Bright Studio- Recoleta/ WIFI/ Balcony | Welcome2BA Team,216430388,Welcome2BA,Recoleta,-34.59632,-58.40288,Entire home/apt,8933,4,46
34088602,,Pleno Recoleta. Piso 12. Callao y Juncal,255235964,Aloha-Fácil,Recoleta,-34.59412,-58.39333,Entire home/apt,14495,4,45
34092130,,¡habitación tranquila y luminosa con baño privado!,872401,Hanna,Chacarita,-34.59502,-58.45176,Private room,4200,14,16
34092378,,Bright and cozy apartment in Palermo Hollywood,65207574,Matias,Palermo,-34.57676,-58.4319,Entire home/apt,5825,1,23
34094120,,WOW-Palermo-Laundry-Gym-Terrace-Grill-Clean-201,208234152,Edward,Palermo,-34.57878,-58.43502,Entire home/apt,6836,2,110
34106139,,Luxury apartment in Recoleta,1409870,María,Recoleta,-34.59517,-58.40199,Entire home/apt,10401,2,0
34106453,,"Plena Recoleta, studio tranquilo y renovado para 2",22385346,Celeste,Recoleta,-34.59048,-58.39389,Entire home/apt,9806,2,45
34106714,,Palermo Apartamento 2 habitaciones,257332149,Sebastian,Palermo,-34.57942,-58.4082,Entire home/apt,12721,2,3
34112877,,Habitación para 1 o 2 con balcon en Palermo,36564453,Sandra,Palermo,-34.57164,-58.42909,Private room,4823,14,0
34112951,,"Mono ambiente muy amplio, apto estadìas largas",183388078,Maria,Chacarita,-34.58579,-58.45225,Entire home/apt,4142,3,2
34113283,,Lovely and spacious apartment at Recoleta,98025593,John,Recoleta,-34.58916,-58.4008,Entire home/apt,2087,5,12
34114878,,Apartamento Studio Palermo Hollywood.,58222848,Agustin,Palermo,-34.58089,-58.43326,Entire home/apt,52006,15,50
34119248,,Quartier Madero UCA,242301240,Marcelo,San Telmo,-34.61699,-58.36822,Entire home/apt,8283,7,33
34120345,,Departamento de 3 ambientes en Palermo Soho,9745735,Matias,Palermo,-34.58346,-58.42307,Entire home/apt,18722,4,24
34123380,,Silky Studio in Palermo Hollywood,257651804,Ivan,Palermo,-34.58064,-58.42944,Entire home/apt,12425,1,50
34124758,,Loft en Cañitas,2412153,Maria,Palermo,-34.56339,-58.43956,Entire home/apt,6597,2,98
34135931,,House type loft with study and terrace.,257734799,Maximo,Recoleta,-34.59811,-58.40324,Private room,8697,3,6
34137662,,Stunning loft Recoleta/Palermo,256462517,Jan,Recoleta,-34.59184,-58.41009,Entire home/apt,20500,14,5
34145853,,"Palermo Amazing sunset , pool, sauna, gym,",25429070,Patricia,Colegiales,-34.58037,-58.44191,Entire home/apt,9985,2,8
34152640,,Cozy Room in the middle of Palermo.Arlt 7,256039628,Gabriel,Villa Crespo,-34.59612,-58.42772,Private room,17000,1,5
34155099,,"Lovely & cozy appt, best area of real Palermo",4496415,Mariano,Palermo,-34.58984,-58.41336,Entire home/apt,8194,3,42
34155346,,PUERTO MADERO Torres del Yacht Lugar seguro,257881263,Karina,Puerto Madero,-34.60469,-58.36431,Entire home/apt,15531,2,40
34157306,,Cozy Suite in Palermo Soho N1,256039628,Gabriel,Palermo,-34.59384,-58.42714,Private room,17000,1,2
34175352,,Cozy apartment in great location,170629816,Julián,Belgrano,-34.55626,-58.46393,Entire home/apt,7529,1,45
34175948,,APARTMENT IN RECOLETA,62590012,Daniela,Recoleta,-34.58713,-58.40011,Entire home/apt,9361,10,6
34176865,,Monthly Rent. Palermo Amazing Design Studio,60508740,Noelia,Palermo,-34.57682,-58.4361,Entire home/apt,7248,30,1
34180055,,Espacio Palermo Soho - Plaza Serrano,31919874,Gilda,Palermo,-34.58953,-58.43163,Entire home/apt,5769,10,8
34180522,,Increible depto en la mejor zona,2327299,Nico,Chacarita,-34.58533,-58.44508,Entire home/apt,13460,4,4
34182798,,Quinquela Room,258085611,Teresita,Recoleta,-34.58471,-58.40361,Private room,5201,3,3
34198623,,"19 - Studio in Palermo, Bustamante St.",48064803,Federico,Recoleta,-34.59124,-58.40883,Entire home/apt,5620,1,45
